name,role,batting_defense,batting_rotation,batting_boundary,batting_power,batting_spin,batting_fast,batting_swing,batting_bounce,test_ave,odi_ave,t20_ave,test_sr,odi_sr,t20_sr,bowling_type,bowling_bounce,bowling_seam,bowling_swing,bowling_pace,bowling_control,bowling_turn,bowling_variations,age,fitness,fatigue,strain,form,followers,marketability,injury_status,prevmatch
Rinku Singh,Batsman,65,72,85,90,75,68,60,65,0,28.5,36.8,0,85,148.7,None,0,0,0,0,0,0,0,27,82,30,5,85,2500000,75,Healthy,10/03/2025
Andre Russell,All-rounder,55,60,90,98,65,62,55,60,13.2,28.8,26.4,75,130.5,175.4,Pace,70,65,55,138,60,0,65,36,70,45,15,70,5200000,85,Healthy,09/03/2025
Varun Chakravarthy,Bowler,30,35,40,45,50,35,25,30,0,0,8.2,0,0,105,Wrist,60,0,0,85,75,85,80,32,75,35,10,75,850000,60,Healthy,11/03/2025
Sunil Narine,All-rounder,55,65,80,85,80,50,45,55,21.5,24.5,16.8,65,95.7,145.3,Finger,65,0,0,90,80,85,85,36,78,40,8,90,2800000,82,Healthy,12/03/2025
Harshit Rana,Bowler,35,40,55,60,35,40,30,35,0,0,7.5,0,0,110,Pace,75,70,65,138,65,0,55,23,85,25,5,65,320000,55,Healthy,08/03/2025
Ramandeep Singh,All-rounder,60,65,75,80,65,60,55,60,0,20.5,18.4,0,95,135.6,Pace,60,55,60,132,65,0,50,27,80,30,5,60,180000,45,Healthy,05/03/2025
Mitchell Starc,Bowler,40,45,65,75,40,50,45,55,22.3,16.5,12.8,65,80.5,145.7,Pace,80,85,85,145,75,0,70,35,78,40,12,75,1800000,80,Healthy,10/03/2025
Phil Salt,Keeper,60,70,85,90,70,65,60,65,0,45.2,30.5,0,125,165.8,None,0,0,0,0,0,0,0,29,85,30,5,85,950000,70,Healthy,09/03/2025
Anmolpreet Singh,Batsman,70,75,70,65,75,60,65,70,0,25.5,20.8,0,85,130.5,None,0,0,0,0,0,0,0,27,80,25,5,55,150000,45,Healthy,06/03/2025
Kumar Kushagra,Keeper,65,60,70,75,65,60,55,60,0,0,15.5,0,0,125.5,None,0,0,0,0,0,0,0,20,85,20,5,60,120000,50,Healthy,08/03/2025
Anuj Rawat,Keeper,60,65,75,80,70,60,55,65,0,0,18.5,0,0,135.8,None,0,0,0,0,0,0,0,25,83,25,5,65,350000,55,Healthy,11/03/2025
Vyshak Vijaykumar,Bowler,40,45,60,65,40,45,35,40,0,0,10.2,0,0,115.5,Pace,70,75,60,135,70,0,60,27,82,30,8,70,180000,50,Healthy,07/03/2025
Piyush Chawla,Bowler,45,55,55,50,70,40,35,45,25.5,22.4,10.5,55,70.5,118.5,Wrist,55,0,0,82,80,80,75,36,70,35,15,65,850000,60,Healthy,09/03/2025
Krunal Pandya,All-rounder,60,70,75,80,75,55,50,55,0,25.4,20.5,0,95.5,138.7,Finger,60,0,0,85,75,70,65,33,80,35,10,70,1500000,70,Healthy,12/03/2025
Ryan Rickelton,Batsman,75,70,75,70,75,65,70,65,0,35.4,28.5,0,90.5,140.2,None,0,0,0,0,0,0,0,27,85,25,5,75,250000,60,Healthy,05/03/2025
Deep,Bowler,35,40,50,55,40,35,30,35,0,0,8.5,0,0,110.5,Pace,65,70,65,135,65,0,55,25,80,30,8,60,120000,45,Healthy,08/03/2025
Marco Jansen,Bowler,50,55,70,75,45,60,55,65,25.5,20.5,15.4,65,85.5,130.5,Pace,85,75,70,140,70,0,60,24,85,35,10,80,650000,70,Healthy,10/03/2025
Anukul Roy,All-rounder,60,65,65,60,70,55,50,55,0,0,15.5,0,0,125.5,Finger,55,0,0,85,70,75,60,25,82,30,8,65,190000,50,Healthy,07/03/2025
Rahmanullah Gurbaz,Keeper,65,70,80,75,65,75,65,60,25,35,25,55,95,160,None,0,0,0,0,0,0,0,23,80,20,0,75,1500000,80,Healthy,2025-02-17
Heinrich Klaasen,Keeper,70,70,80,85,75,75,75,75,38,35,32,60,95,182,None,0,0,0,0,0,0,0,33,70,35,0,70,1000000,70,Healthy,2025-02-15
Saik Rashid,Bowler,35,40,45,40,50,35,30,25,0,0,7.5,0,0,105.5,Wrist,60,0,0,82,70,80,75,23,85,25,5,60,110000,45,Healthy,06/03/2025
Swastik Chikara,Batsman,65,70,80,85,70,65,60,65,0,0,22.5,0,0,145.5,None,0,0,0,0,0,0,0,21,88,20,5,70,180000,55,Healthy,09/03/2025
Priyam Garg,Batsman,70,75,70,65,75,65,70,65,0,28.5,20.5,0,85.5,135.5,None,0,0,0,0,0,0,0,24,85,25,5,65,350000,60,Healthy,08/03/2025
Tanush Kotian,All-rounder,55,60,60,55,70,50,45,50,0,0,15.4,0,0,125.4,Finger,55,0,0,85,75,75,65,26,80,30,8,65,120000,45,Healthy,07/03/2025
Steve Smith,Batsman,90,85,75,70,85,80,75,85,58.5,43.5,27.5,65,90.5,135.5,None,0,0,0,0,0,0,0,35,75,40,12,70,4200000,85,Healthy,09/03/2025
Shivam Mavi,Bowler,40,45,60,65,45,50,45,50,0,20.5,10.5,0,75.5,120.5,Pace,70,75,70,138,70,0,65,26,75,35,15,60,450000,60,Healthy,08/03/2025
Abhishek Sharma,All-rounder,65,70,85,90,75,65,60,65,0,25.5,28.5,0,85.5,175.5,Finger,55,0,0,85,65,65,60,23,85,30,5,85,850000,75,Healthy,11/03/2025
Travis Head,Batsman,75,80,90,85,70,75,70,75,46.5,40.5,32.5,85,110.5,180.5,Finger,50,0,0,85,60,55,45,30,82,35,8,90,1800000,80,Healthy,12/03/2025
Nitish Kumar Reddy,All-rounder,65,70,75,80,70,65,60,65,0,0,20.5,0,0,140.5,Pace,65,60,55,132,65,0,55,21,88,25,5,75,280000,65,Healthy,10/03/2025
Liam Livingstone,All-rounder,60,65,90,95,70,65,60,65,0,38.5,30.5,0,105.5,155.5,Wrist,55,0,0,85,65,70,65,31,80,35,10,75,1500000,75,Healthy,09/03/2025
Rahmanullah Gurbaz,Keeper,65,60,85,90,70,65,55,60,0,35.5,28.5,0,95.5,150.5,None,0,0,0,0,0,0,0,23,85,30,5,80,950000,70,Healthy,12/03/2025
T Natarajan,Bowler,25,30,35,40,30,25,20,25,0,15.5,8.5,0,65.5,105.5,Pace,65,70,80,135,75,0,70,32,75,35,15,70,850000,65,Healthy,08/03/2025
Wanindu Hasaranga,All-rounder,60,65,75,70,75,60,55,60,23.5,30.5,22.5,65,95.5,145.5,Wrist,60,0,0,85,80,85,80,27,82,40,10,85,1800000,80,Healthy,11/03/2025
